domain,page,document,size [KB],status_code
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest033.jpg,457.48199999999997,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest032b.jpg,446.894,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest032.jpg,276.508,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest031.jpg,395.13699999999994,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest030.jpg,386.67199999999997,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest029.jpg,494.93800000000005,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest028.jpg,522.111,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest027.jpg,332.07199999999995,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest026.jpg,350.8110000000001,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest025.jpg,303.315,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest024.jpg,323.91900000000004,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest023.jpg,339.711,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest022b.jpg,280.08799999999997,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest022.jpg,414.23199999999997,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest021.jpg,404.49199999999996,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest020c.jpg,407.269,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest020b.jpg,324.337,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest020.jpg,303.036,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest019.jpg,426.227,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest018.jpg,408.639,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest017.jpg,339.778,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest016.jpg,455.463,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest015.jpg,398.751,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest014.jpg,385.374,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest013.jpg,377.92699999999996,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest012.jpg,926.966,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest011.jpg,394.51,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest010.jpg,332.79,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest009b.jpg,349.2630000000001,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest009.jpg,434.371,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest008.jpg,345.94800000000004,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest007.jpg,376.605,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest006.jpg,301.01599999999996,
