domain,page,document,size [KB],status_code
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/02%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,419.65000000000003,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/07%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,507.613,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/06%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,567.545,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/05%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,355.232,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/04%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,344.946,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/03%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,437.172,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara/01%20Torba%20%28grenier-habitation%29%2C%20Sornico%2C%20Val%20Lavizzara.jpg,322.002,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca/07%20Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca.jpg,430.735,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca/06%20Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca.jpg,261.323,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca/05%20Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca.jpg,343.361,
http://acm.epfl.ch/,http://acm.epfl.ch/page-142401-fr.html/,https://documents.epfl.ch/groups/g/gr/gr-acm-unit/www/Acm/VirtualExpo/Vernc_Suisse/Tessin/Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca/04%20Maison%20d%27habitation%2C%20Sonogno%2C%20Val%20Verzasca.jpg,381.994,
