domain,page,document,size [KB],status_code
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0212.JPG,235.209,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0216.JPG,218.659,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0221.JPG,175.124,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0231.JPG,175.717,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0236.JPG,171.574,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_1220.jpg,2319.065,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5952.JPG,2310.693,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5954.JPG,1967.5720000000001,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5958.JPG,2302.138,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5960.JPG,1979.396,
http://adec.epfl.ch/,http://adec.epfl.ch/page-104103-fr.html/,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5961.JPG,1893.992,
