domain,page,document,size [KB],status_code
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%280%29.jpg,121.896,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%281%29.JPG,1279.682,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%282%29.JPG,1435.064,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%283%29.JPG,1524.328,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%284%29.JPG,1328.406,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%285%29.JPG,1138.148,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%286%29.JPG,1600.583,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%287%29.JPG,1285.632,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%288%29.JPG,828.5450000000001,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%289%29.JPG,1573.577,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%2810%29.JPG,1158.288,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%2811%29.JPG,1024.3410000000001,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%2812%29.JPG,1410.933,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%2813%29.JPG,1353.5230000000001,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Halloween%202014/Halloween%20%2814%29.JPG,1153.945,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%281%29.jpg,43.185,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%283%29.jpg,105.061,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%285%29.jpg,107.087,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%287%29.jpg,148.29,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%289%29.jpg,104.59,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%282%29.jpg,119.464,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%284%29.jpg,101.305,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%286%29.jpg,55.827,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%288%29.jpg,160.326,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2810%29.jpg,106.171,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2811%29.jpg,108.122,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2812%29.jpg,53.946,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2813%29.jpg,44.102000000000004,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2815%29.jpg,109.913,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2814%29.jpg,58.308,
http://aesv.epfl.ch/,http://aesv.epfl.ch/page-124895-fr.html/,https://documents.epfl.ch/groups/a/ae/aesv-unit/www/Remise%20de%20bachelor%202014/Bachelor%20%2816%29.jpg,120.337,
http://aesv.epfl.ch,http://aesv.epfl.ch/tequila/help?language=fr,,,404.0
