domain,page,document,size [KB],status_code
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P4172285.JPG,150.005,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P4172332.JPG,151.645,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P4172353.JPG,193.502,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P4172420.JPG,188.594,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P5052648.JPG,204.247,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P4172339.JPG,196.803,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P4172405.JPG,472.269,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P5052646.JPG,231.692,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Geneva_RS/P5052653.JPG,224.06300000000002,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Neuchatel_ROV/P4032098.JPG,293.051,
http://aphys.epfl.ch/,http://aphys.epfl.ch/page-106227-en.html/,https://documents.epfl.ch/groups/a/ap/aphys-unit/www/Photos/2014_Lake_Neuchatel_ROV/P4032089.JPG,190.249,
