domain,page,document,size [KB],status_code
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/2011/Photo%205.JPG,1550.7250000000001,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/2011/Photo%201.jpg,117.7,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/2011/Photo%206.JPG,1749.334,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/2011/Photo%202.JPG,1798.2830000000001,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/2011/Photo%203.JPG,1600.1190000000001,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/2011/Photo%204.JPG,1752.3120000000001,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Semaine%20du%20monde%20%28avril%202013%29/Photo%205.jpg,94.95400000000001,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Semaine%20du%20monde%20%28avril%202013%29/Photo%204.jpg,86.785,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Semaine%20du%20monde%20%28avril%202013%29/Photo%201.jpg,135.522,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Semaine%20du%20monde%20%28avril%202013%29/Photo%202.jpg,106.128,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Semaine%20du%20monde%20%28avril%202013%29/Photo%203.jpg,107.15,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Ap%C3%A9ro-rencontre%20%28avril2013%29/Photo%201.jpg,117.96600000000001,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Ap%C3%A9ro-rencontre%20%28avril2013%29/Photo%205.jpg,96.658,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Ap%C3%A9ro-rencontre%20%28avril2013%29/Photo%202.jpg,148.918,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Ap%C3%A9ro-rencontre%20%28avril2013%29/Photo%204.jpg,59.542,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Ap%C3%A9ro-rencontre%20%28avril2013%29/Photo%203.jpg,56.322,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Projection%20%28avril%202013%29/Photo%202.JPG,6591.424,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Projection%20%28avril%202013%29/Photo%203.JPG,6220.493,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Projection%20%28avril%202013%29/Photo%201.JPG,5178.584,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Projection%20%28avril%202013%29/Photo%205.JPG,5368.648,
http://apml.epfl.ch/,http://apml.epfl.ch/page-99892-fr.html/,https://documents.epfl.ch/users/s/sa/sayah/www/Projection%20%28avril%202013%29/Photo%204.JPG,6315.089,
