domain,page,document,size [KB],status_code
http://callista.epfl.ch,http://callista.epfl.ch/plan-du-site,,,404.0
http://callista.epfl.ch,http://callista.epfl.ch/site/callista/plan-du-site,,,404.0
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2017-11-02.pdf,857.309,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2017-05-29.pdf,1237.0040000000001,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2016-10-17.pdf,311.27,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2016-05-26.pdf,322.425,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2014-06-10.pdf,1278.988,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2014-11-17.pdf,325.418,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2006-06-06.pdf,173.034,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2009-11-05.pdf,92.861,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2005-06-15.pdf,199.87800000000001,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2009-05-16.pdf,85.248,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2007-05-30.pdf,127.105,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2000-01-13.pdf,48.495000000000005,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2004-11-25.pdf,217.39600000000002,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2000-05-25.pdf,43.711,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2004-06-04.pdf,143.381,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2007-12-04.pdf,87.987,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2005-11-21.pdf,165.494,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2008-11-26.pdf,112.305,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2002-06-12.pdf,87.334,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2003-12-04.pdf,64.63,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2011-11-23.pdf,51.137,
http://callista.epfl.ch/,http://callista.epfl.ch/pv/,https://documents.epfl.ch/groups/c/ca/callista-unit/www/PV/AG/AG-2006-12-12.pdf,77.043,
