domain,page,document,size [KB],status_code
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/01_Avan%C3%A7on_1.jpg,1173.32,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/02_Novartis_1.jpg,594.561,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/03_Eyecatcher_1.jpg,1321.275,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/04_Pontresina_1.jpg,989.681,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/05_Avan%C3%A7on_2.jpg,911.155,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/06_Avan%C3%A7on_3.jpg,1268.659,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/07_Avan%C3%A7on_4.jpg,810.553,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/08_Avan%C3%A7on_5.jpg,554.573,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/09_Avan%C3%A7on_6.jpg,543.625,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/10_Avan%C3%A7on_7.jpg,744.335,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/11_Novartis_2.jpg,645.27,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/12_Novartis_3.jpg,573.662,
http://cclab.epfl.ch/,http://cclab.epfl.ch/page-139446-en.html/,https://documents.epfl.ch/groups/s/si/site-web-cclab/www/Gallery_Projects/13_Novartis_4.jpg,886.923,
