domain,page,document,size [KB],status_code
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-csf2016-1.jpg,189.912,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-csf2016-2.jpg,364.339,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-jdc2015-1.jpg,142.806,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-jdc2015-2.jpg,134.523,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-swissnex-1.jpg,874.0070000000001,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-swissnex-2.jpg,823.9300000000001,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-swissnex-3.jpg,756.082,
http://chili.epfl.ch/,http://chili.epfl.ch/cellulo/,https://documents.epfl.ch/groups/c/ch/chili/www/cellulo/cellulo-swissnex-4.jpg,871.964,
http://chili.epfl.ch,http://chili.epfl.ch/page-126194.html,,,401.0
http://chili.epfl.ch,http://chili.epfl.ch/page-92256-en.html,,,404.0
http://chili.epfl.ch,http://chili.epfl.ch/tequila/help?language=fr,,,404.0
http://chili.epfl.ch,http://chili.epfl.ch/cms/lang/en/pid/184007?ln=en,,,404.0
http://chili.epfl.ch,http://chili.epfl.ch/cms/lang/en/pid/184006?ln=en,,,404.0
