domain,page,document,size [KB],status_code
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-13.jpg,404.813,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-22.jpg,669.066,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-12.jpg,869.54,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-14.jpg,430.468,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-25.jpg,723.5550000000001,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-1.jpg,618.366,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-2.jpg,873.418,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-3.jpg,1004.362,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-26.jpg,431.27,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-34.jpg,473.577,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-30.jpg,479.94100000000003,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-32.jpg,368.172,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-33.jpg,536.474,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-21.jpg,465.158,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-7.jpg,575.396,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-23.jpg,594.764,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-4.jpg,660.17,
http://cryos.epfl.ch/,http://cryos.epfl.ch/page-89070-en.html/,https://documents.epfl.ch/groups/c/cr/cryos-unit/www/sitejahia/galleries/antarctica_2012_gallerie/Antarctica_2012-6.jpg,768.689,
