domain,page,document,size [KB],status_code
http://culture.epfl.ch,http://culture.epfl.ch/cms/lang/fr/pid/71888,,,404.0
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Beat%20Lippert%202%20-%20Ma%20premi%C3%A8re%20et%20derni%C3%A8re%20pi%C3%A8ce%20-%202011.jpg,246.703,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Michael%20Meier%20et%20Christoph%20Franz%20-%20Joyfull%20Newes%20out%20of%20the%20New-Found%20World%20-%202011.jpg,152.548,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Kerim%20Seiler%20-%20Birdhouse%20II%20-%202011.jpg,560.814,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Michael%20Meier%20et%20Christoph%20Franz%202%20-%20Joyfull%20Newes%20out%20of%20the%20New-Found%20World%20-%202011.jpg,432.40500000000003,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Beat%20Lippert%20-%20Ma%20premi%C3%A8re%20et%20derni%C3%A8re%20pi%C3%A8ce%20-%202011.jpg,185.749,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Pascal%20H%C3%A4usermann%20-%20Correspondance-Connections%20-%202011.jpg,627.874,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Pascal%20H%C3%A4usermann%202%20-%20Correspondance-Connections%20-%202011.jpg,713.6850000000001,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Kerim%20Seiler%202%20-%20Birdhouse%20II%20-%202011.jpg,510.463,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Michael%20Meier%20et%20Christoph%20Franz%203%20-%20Joyfull%20Newes%20out%20of%20the%20New-Found%20World%20-%202011.jpg,140.23,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Yves%20Netzhammer%20-%20Klangskulpture%20-%202011.jpg,670.855,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Yves%20Netzhammer%202%20-%20Klangskulpture%20-%202011.jpg,254.784,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/z_Affiche_verte.pdf,1333.1200000000001,
http://culture.epfl.ch/,http://culture.epfl.ch/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/z_Depliant_BexArts.pdf,310.782,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Beat%20Lippert%202%20-%20Ma%20premi%C3%A8re%20et%20derni%C3%A8re%20pi%C3%A8ce%20-%202011.jpg,246.703,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Michael%20Meier%20et%20Christoph%20Franz%20-%20Joyfull%20Newes%20out%20of%20the%20New-Found%20World%20-%202011.jpg,152.548,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Kerim%20Seiler%20-%20Birdhouse%20II%20-%202011.jpg,560.814,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Michael%20Meier%20et%20Christoph%20Franz%202%20-%20Joyfull%20Newes%20out%20of%20the%20New-Found%20World%20-%202011.jpg,432.40500000000003,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Beat%20Lippert%20-%20Ma%20premi%C3%A8re%20et%20derni%C3%A8re%20pi%C3%A8ce%20-%202011.jpg,185.749,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Pascal%20H%C3%A4usermann%20-%20Correspondance-Connections%20-%202011.jpg,627.874,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Pascal%20H%C3%A4usermann%202%20-%20Correspondance-Connections%20-%202011.jpg,713.6850000000001,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Kerim%20Seiler%202%20-%20Birdhouse%20II%20-%202011.jpg,510.463,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Michael%20Meier%20et%20Christoph%20Franz%203%20-%20Joyfull%20Newes%20out%20of%20the%20New-Found%20World%20-%202011.jpg,140.23,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Yves%20Netzhammer%20-%20Klangskulpture%20-%202011.jpg,670.855,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/Yves%20Netzhammer%202%20-%20Klangskulpture%20-%202011.jpg,254.784,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/z_Affiche_verte.pdf,1333.1200000000001,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/bex-et-arts-2014/,https://documents.epfl.ch/users/v/vm/vmartin/public/Echoing_Bex%26Arts2014/z_Depliant_BexArts.pdf,310.782,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2099.jpeg,443.39300000000003,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2098.jpeg,532.804,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2097.jpeg,574.255,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2093.jpeg,515.162,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2088.jpeg,669.361,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2087.jpeg,604.2330000000001,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2086.jpeg,550.437,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2084.jpeg,559.413,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2082.jpeg,726.217,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2078.jpeg,602.3530000000001,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2077.jpeg,391.581,
http://culture.epfl.ch/,http://culture.epfl.ch/cms/site/cultures/lang/fr/parade/,https://documents.epfl.ch/users/v/vm/vmartin/www/Parade%20DANSES%20LIBRES%20-%20Jeudi%2026%20novembre%20-%20EPFL%20Rolex%20Learning%20Center/Credit%20photo%20Murielle%20Gerber%20-%2074.jpeg,389.757,
