domain,page,document,size [KB],status_code
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_0000.jpg,606.1800000000001,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5341.jpg,1028.436,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5298.jpg,652.448,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5301.jpg,580.563,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5325.jpg,560.477,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5304.jpg,559.864,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5299.jpg,756.336,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5300.jpg,801.389,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5303.jpg,689.333,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5305.jpg,901.351,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5317.jpg,438.524,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5321.jpg,732.741,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5329.jpg,879.23,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5330.jpg,1133.785,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5311.jpg,663.8770000000001,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5324.jpg,665.138,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5327.jpg,1323.704,
http://dynamic.epfl.ch/,http://dynamic.epfl.ch/page-130779-fr.html/,https://documents.epfl.ch/groups/d/dy/dynamic-unit/private/Photos-Dynamic/Photos/Conference_06_05_2015/IMG_5328.jpg,891.4780000000001,
