domain,page,document,size [KB],status_code
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/54.jpg,138.098,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/53.jpg,102.917,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/52.jpg,86.992,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/51.jpg,98.459,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/50.jpg,139.413,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/49.jpg,187.216,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/48.jpg,187.947,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/47.jpg,156.056,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/46.jpg,51.659,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/45.jpg,124.49600000000001,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/44.jpg,203.75900000000001,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/43.jpg,109.266,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/42.jpg,207.88400000000001,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/41.jpg,135.213,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/40.jpg,138.989,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/39.jpg,145.091,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/38.jpg,246.61,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/37.jpg,206.925,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/36.jpg,157.201,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/35.jpg,154.547,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/34.jpg,220.44400000000002,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/33.jpg,219.15800000000002,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/32.jpg,221.773,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/31.jpg,182.64000000000001,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/30.jpg,199.749,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/29.jpg,130.945,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/28.jpg,54.711,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/27.jpg,97.991,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/26.jpg,157.195,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/25.jpg,143.724,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/24.jpg,117.096,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/23.jpg,98.631,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/22.jpg,128.608,
http://ecos.epfl.ch/,http://ecos.epfl.ch/page-127625-fr.html/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/Gallery/21.jpg,174.56,
