domain,page,document,size [KB],status_code
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_018.jpg,365.66200000000003,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_037.jpg,305.183,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_073.jpg,342.039,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_032.jpg,317.19100000000003,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_078.jpg,283.826,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_043.jpg,223.704,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/IMG_0781.JPG,3749.436,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_042.jpg,308.571,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/2012SoccerTournament_049.jpg,301.07,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/IMG_0786.JPG,3171.3540000000003,
http://emc.epfl.ch/,http://emc.epfl.ch/cms/lang/en/pid/100663/,https://documents.epfl.ch/groups/s/sc/sci-sti-fr-unit/www/Soccer%20Tournament%202012/IMG_0839.JPG,3369.198,
