domain,page,document,size [KB],status_code
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040082.JPG,5420.544,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040085.JPG,5812.224,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040075.JPG,5776.896,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040083.JPG,5318.144,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040105.JPG,1226.983,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040084.JPG,4777.984,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040108.JPG,5591.552,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040132.JPG,2590.055,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040113.JPG,1889.954,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040117.JPG,4021.551,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040096.JPG,5565.952,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040119.JPG,3491.871,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040125.JPG,1690.056,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040110.JPG,3862.929,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040123.JPG,1110.3310000000001,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040130.JPG,3859.398,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040095.JPG,1008.518,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040087.JPG,4527.0830000000005,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474-en.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040092.JPG,4041.029,
http://epsl.epfl.ch,http://epsl.epfl.ch/tequila/help?language=fr,,,404.0
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040082.JPG,5420.544,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040085.JPG,5812.224,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040075.JPG,5776.896,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040083.JPG,5318.144,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040105.JPG,1226.983,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040084.JPG,4777.984,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040108.JPG,5591.552,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040132.JPG,2590.055,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040113.JPG,1889.954,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040117.JPG,4021.551,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040096.JPG,5565.952,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040119.JPG,3491.871,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040125.JPG,1690.056,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040110.JPG,3862.929,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040123.JPG,1110.3310000000001,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040130.JPG,3859.398,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040095.JPG,1008.518,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040087.JPG,4527.0830000000005,
http://epsl.epfl.ch/,http://epsl.epfl.ch/page-113474.html/,https://documents.epfl.ch/users/d/do/dorfman/www/SymposiumPhotos/P1040092.JPG,4041.029,
