domain,page,document,size [KB],status_code
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6459.jpg,385.543,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6458.jpg,418.391,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6456.jpg,496.031,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6455.jpg,455.116,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6454.jpg,433.295,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6452.jpg,626.955,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6450.jpg,515.976,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6447.jpg,541.1560000000001,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6446.jpg,612.113,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6444.jpg,478.361,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6443.jpg,619.54,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6442.jpg,510.677,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6441.jpg,493.30400000000003,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6438.jpg,568.499,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6429.jpg,691.756,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6406.jpg,654.202,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6403.jpg,529.4540000000001,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6389.jpg,540.351,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6380.jpg,525.488,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6341.jpg,439.452,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6313.jpg,620.391,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6381.jpg,451.832,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6353.jpg,658.525,
http://gel.epfl.ch/,http://gel.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/gel/frame01/DF9I6319.jpg,546.649,
http://gel.epfl.ch,http://gel.epfl.ch/tequila/help?language=fr,,,404.0
