domain,page,document,size [KB],status_code
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS-SPE-online.jpg,63.512,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/TOC.jpg,16.876,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP-MS.jpg,23.577,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Microplate%20reader.jpg,17.226,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MS.jpg,24.354,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/IC.jpg,21.605,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MSMS.jpg,21.691,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Laser%20diffraction%20particle%20size%20analyser.jpg,20.597,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-ECD.jpg,23.682000000000002,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS.jpg,63.317,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/SPE.jpg,26.85,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/UHPLC-DAD.jpg,26.5,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP.jpg,18.908,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Freezedryer.jpg,19.783,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Surface%20and%20pore%20size%20analyser.jpg,22.915,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/cms/page-10581.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Auto%20analyser.jpg,21.705000000000002,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS-SPE-online.jpg,63.512,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/TOC.jpg,16.876,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP-MS.jpg,23.577,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Microplate%20reader.jpg,17.226,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MS.jpg,24.354,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/IC.jpg,21.605,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MSMS.jpg,21.691,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Laser%20diffraction%20particle%20size%20analyser.jpg,20.597,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-ECD.jpg,23.682000000000002,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS.jpg,63.317,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/SPE.jpg,26.85,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/UHPLC-DAD.jpg,26.5,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP.jpg,18.908,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Freezedryer.jpg,19.783,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Surface%20and%20pore%20size%20analyser.jpg,22.915,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-fr.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Auto%20analyser.jpg,21.705000000000002,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS-SPE-online.jpg,63.512,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/TOC.jpg,16.876,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP-MS.jpg,23.577,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Microplate%20reader.jpg,17.226,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MS.jpg,24.354,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/IC.jpg,21.605,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MSMS.jpg,21.691,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Laser%20diffraction%20particle%20size%20analyser.jpg,20.597,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-ECD.jpg,23.682000000000002,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS.jpg,63.317,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/SPE.jpg,26.85,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/UHPLC-DAD.jpg,26.5,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP.jpg,18.908,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Freezedryer.jpg,19.783,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Surface%20and%20pore%20size%20analyser.jpg,22.915,
http://gr-cel.epfl.ch/,http://gr-cel.epfl.ch/page-10581-en.html/,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Auto%20analyser.jpg,21.705000000000002,
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/tequila/help?language=fr,,,404.0
