domain,page,document,size [KB],status_code
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Alcian%20Blue.png,1101.513,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Marius%20Scarlett%20Blue.png,1165.568,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Sirius%20Red%20Collagen.png,1263.579,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Periodic%20Acid%20Schiff.png,1289.551,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Masson%20Trichrome.png,942.591,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Jones%20Methenamine%20Silver.png,1204.314,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Grocott.png,1004.869,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Giemsa.png,957.898,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Gallyas.png,1036.044,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Alcian%20Blue_Periodic%20Acid%20Schiff.png,850.711,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580-en.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Sirius%20Red%20Collagen%20Polarized%20Light-1.png,1105.286,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Alcian%20Blue.png,1101.513,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Marius%20Scarlett%20Blue.png,1165.568,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Sirius%20Red%20Collagen.png,1263.579,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Periodic%20Acid%20Schiff.png,1289.551,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Masson%20Trichrome.png,942.591,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Jones%20Methenamine%20Silver.png,1204.314,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Grocott.png,1004.869,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Giemsa.png,957.898,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Gallyas.png,1036.044,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Alcian%20Blue_Periodic%20Acid%20Schiff.png,850.711,
http://hcf.epfl.ch/,http://hcf.epfl.ch/page-39580.html/,https://documents.epfl.ch/users/j/jd/jdessimo/www/Histological%20stains/Sirius%20Red%20Collagen%20Polarized%20Light-1.png,1105.286,
http://hcf.epfl.ch,http://hcf.epfl.ch/tequila/help?language=fr,,,404.0
