domain,page,document,size [KB],status_code
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2406_DxO.jpg,532.719,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2409_DxO.jpg,478.411,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2414_DxO.jpg,480.523,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/2.jpg,405.041,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/5.jpg,452.62,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/7.jpg,605.939,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2395_DxO.jpg,573.692,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2417_DxO.jpg,444.595,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/6.jpg,559.306,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/8.jpg,428.986,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/9.jpg,414.229,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/10.jpg,625.715,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/11.jpg,580.03,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2229_DxO.jpg,484.314,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2231_DxO.jpg,484.562,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2234_DxO.jpg,425.426,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2235_DxO.jpg,441.98,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2240_DxO.jpg,369.154,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2245_DxO.jpg,264.919,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2255_DxO.jpg,581.383,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2261_DxO.jpg,472.86400000000003,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2266_DxO.jpg,490.57,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2273_DxO.jpg,609.64,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2276_DxO.jpg,559.396,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2288_DxO.jpg,695.1800000000001,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2295_DxO.jpg,427.491,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2311_DxO.jpg,504.021,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2420_DxO.jpg,678.601,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2302_DxO.jpg,496.284,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2358_DxO.jpg,420.38800000000003,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2307_DxO.jpg,445.245,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2313_DxO.jpg,289.665,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2315_DxO.jpg,284.287,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2325_DxO.jpg,562.592,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2328_DxO.jpg,476.717,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2331_DxO.jpg,414.134,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2346_DxO.jpg,453.237,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2336_DxO.jpg,314.071,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2342_DxO.jpg,517.2330000000001,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2343_DxO.jpg,552.02,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2355_DxO.jpg,452.77500000000003,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2362_DxO.jpg,519.111,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2363_DxO.jpg,505.901,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2367_DxO.jpg,442.035,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2371_DxO.jpg,512.125,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2376_DxO.jpg,434.098,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2386_DxO.jpg,488.06100000000004,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2390_DxO.jpg,533.499,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2398_DxO.jpg,510.872,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2403_DxO.jpg,579.389,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2425_DxO.jpg,466.031,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2432_DxO.jpg,465.793,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2448_DxO.jpg,633.029,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2453_DxO.jpg,547.554,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2470_DxO.jpg,441.23,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2509_DxO.jpg,361.21500000000003,
http://ic.epfl.ch/,http://ic.epfl.ch/portes-ouvertes/souvenirs/,https://documents.epfl.ch/users/a/al/alwalthe/public/Photos%20Portes%20Ouvertes%20IC%202014/IMG_2527_DxO.jpg,352.285,
