domain,page,document,size [KB],status_code
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest033.jpg,457.482,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest032b.jpg,446.894,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest032.jpg,276.508,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest031.jpg,395.137,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest030.jpg,386.672,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest029.jpg,494.938,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest028.jpg,522.111,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest027.jpg,332.072,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest026.jpg,350.81100000000004,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest025.jpg,303.315,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest024.jpg,323.919,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest023.jpg,339.711,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest022b.jpg,280.088,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest022.jpg,414.232,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest021.jpg,404.492,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest020c.jpg,407.269,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest020b.jpg,324.337,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest020.jpg,303.036,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest019.jpg,426.22700000000003,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest018.jpg,408.639,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest017.jpg,339.778,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest016.jpg,455.463,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest015.jpg,398.75100000000003,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest014.jpg,385.374,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest013.jpg,377.927,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest012.jpg,926.966,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest011.jpg,394.51,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest010.jpg,332.79,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest009b.jpg,349.26300000000003,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest009.jpg,434.371,
https://innoseed-enac.epfl.ch/,https://innoseed-enac.epfl.ch/PYI2018_gallery/,https://documents.epfl.ch/users/g/gi/gilis/www/PYI2018_contest/PYI2018_contest008.jpg,345.948,
