domain,page,document,size [KB],status_code
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_092250.jpg,4362.112,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_092301.jpg,4319.051,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_102853.jpg,3739.26,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_111553.jpg,3611.5550000000003,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_111610.jpg,2899.328,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_114720.jpg,3616.3830000000003,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_114741.jpg,3662.5480000000002,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_122002.jpg,4293.746,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_140551.jpg,3732.03,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_140557.jpg,,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_145743.jpg,3562.843,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_151210.jpg,3019.4410000000003,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_152248.jpg,4034.4,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_153208.jpg,3253.985,
http://lacus.epfl.ch/,http://lacus.epfl.ch/page-154185-en.html/,https://documents.epfl.ch/groups/l/ls/lsu-unit/www/Lacus%20day%202018/20180214_153228.jpg,3697.26,
