domain,page,document,size [KB],status_code
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/0.jpg,164.585,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/7.jpg,130.919,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/6.JPEG,179.776,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/5.jpg,206.381,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/4.JPEG,128.556,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/3.JPEG,152.598,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/2.jpg,199.772,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/1.jpg,140.076,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/0.jpg,164.585,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/7.jpg,130.919,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/6.JPEG,179.776,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/5.jpg,206.381,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/4.JPEG,128.556,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/3.JPEG,152.598,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/2.jpg,199.772,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/1.jpg,140.076,
http://lashuel-lab.epfl.ch,http://lashuel-lab.epfl.ch/tequila/help?language=fr,,,404.0
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/0.jpg,164.585,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/7.jpg,130.919,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/6.JPEG,179.776,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/5.jpg,206.381,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/4.JPEG,128.556,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/3.JPEG,152.598,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/2.jpg,199.772,
http://lashuel-lab.epfl.ch/,http://lashuel-lab.epfl.ch/page-18606-en.html/,https://documents.epfl.ch/users/c/ch/chiki/www/Images%20for%20website/1.jpg,140.076,
http://lashuel-lab.epfl.ch,http://lashuel-lab.epfl.ch/wiki/Fichier:Flag_of_Italy.svg,,,404.0
http://lashuel-lab.epfl.ch,http://lashuel-lab.epfl.ch/calendar,,,403.0
