domain,page,document,size [KB],status_code
http://lasig.epfl.ch,http://lasig.epfl.ch/cms/lang/en/pid/62408,,,404.0
http://lasig.epfl.ch,http://lasig.epfl.ch/tequila/help?language=fr,,,404.0
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3827.jpg,150.369,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3831.jpg,150.638,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3832.jpg,136.26,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3838.jpg,133.808,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3843.jpg,134.54,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3844.jpg,161.093,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3854.jpg,131.518,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3861.jpg,179.20000000000002,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3866.jpg,151.796,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3867.jpg,148.519,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3872.jpg,204.949,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3880.jpg,136.28900000000002,
http://lasig.epfl.ch/,http://lasig.epfl.ch/page-96268-en.html/,https://documents.epfl.ch/groups/l/la/landscape-genetics/www/nayejune2013/DSCN3881.jpg,138.987,
