domain,page,document,size [KB],status_code
http://lbni.epfl.ch,http://lbni.epfl.ch/sitemap,,,404.0
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3190.JPG,442.35900000000004,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3401.JPG,454.891,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3398.JPG,407.869,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3396.JPG,524.784,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3393.JPG,489.83500000000004,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3392.JPG,495.475,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3391.JPG,380.403,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3385.JPG,2648.699,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3383.JPG,,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3381.JPG,1889.2150000000001,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3379.JPG,2454.68,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3378.JPG,11555.826000000001,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3377.JPG,2315.7580000000003,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3375.JPG,2411.995,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3371.JPG,2444.79,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%20end%202015/IMG_3351.JPG,2631.926,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%202015/Lab%20Ski%20day%20-%20March%202015.jpg,368.35,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%202015/Lab%20Ski%20day%20-%20March%202015_3.jpg,425.34700000000004,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Lab%20Ski%20day%202015/Lab%20Ski%20day%20-%20March%202015_2.jpg,366.75,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%281%20of%207%29.jpg,552.698,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%282%20of%207%29.jpg,751.214,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%284%20of%207%29.jpg,645.196,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%287%20of%207%29.jpg,584.235,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%286%20of%207%29.jpg,569.495,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%283%20of%207%29.jpg,750.1560000000001,
http://lbni.epfl.ch/,http://lbni.epfl.ch/page-88719-en.html/,https://documents.epfl.ch/groups/l/lb/lbni-unit/www/Coffee/Coffee%20%285%20of%207%29.jpg,437.72700000000003,
http://lbni.epfl.ch,http://lbni.epfl.ch/site/lbni/sitemap,,,404.0
http://lbni.epfl.ch,http://lbni.epfl.ch/tequila/help?language=fr,,,404.0
