domain,page,document,size [KB],status_code
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_04.jpg,73.134,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_10.jpg,89.417,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_05.jpg,62.589,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_01.jpg,51.319,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_12.jpg,93.49,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_02.jpg,57.619,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_09.jpg,83.339,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_24.jpg,98.175,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_03.jpg,65.556,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_07.jpg,101.68,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_19.jpg,111.48,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_17.jpg,109.452,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_06.jpg,95.47800000000001,
http://lch.epfl.ch/,http://lch.epfl.ch/page-21195-fr.html/,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_08.jpg,89.354,
