domain,page,document,size [KB],status_code
http://lepa.epfl.ch,http://lepa.epfl.ch/RFBdemo,,,404.0
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/01%20-%20The%20building.JPG,183.377,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/03-%20Hubert.jpg,175.50300000000001,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/05%20-%20Top%20floor.JPG,235.028,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/07%20-%20Beautiful%20day%20.JPG,156.368,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/09%20-%20The%20crane%20arrives.JPG,186.585,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/23%20-%20Poser.jpg,100.382,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/24%20-%20Collecting%20vanadium.JPG,180.14000000000001,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/26%20-%20Vanadium.JPG,162.566,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/28%20-%202000L%20vanadium.JPG,215.52700000000002,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/30%20-%20It%27s%20very%20heavy.JPG,163.891,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/02%20-%20Beautiful%20day.JPG,169.358,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/04%20-%20Hubert%2C%20Veronique%2C%20Heron.jpg,179.675,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/06%20-%20Martigny%20in%20spring.JPG,156.826,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/08%20-%20Preparing%20the%20site.JPG,214.353,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/22%20-%20Down%20she%20goes.JPG,140.28900000000002,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/24%20-%20Collecting%20the%20vanadium.JPG,156.076,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/25%20-%20Vanadium.JPG,194.341,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/27%20-%20More%20vanadium.JPG,120.756,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/29%20-%20Pulling%20in%20the%20battery.JPG,190.434,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/10%20-%20The%20crane%20arrives.JPG,205.621,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/12%20-%20Ready%20to%20unload.JPG,207.172,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/14%20-%20Boss%20looks%20on.JPG,233.119,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/16%20-%20higher.JPG,147.678,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/18%20-%20Nearly%20there.JPG,141.20000000000002,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/20%20-%20Almost.JPG,137.762,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/36%20-%20Proudly%20looking%20on.JPG,184.848,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/41%20-%20LEPA%20arrive.JPG,213.127,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/43%20-%20Explaining.JPG,177.321,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/11%20-%20The%20battery%20too.JPG,200.35,
http://lepa.epfl.ch/,http://lepa.epfl.ch/page-129903-en.html/,https://documents.epfl.ch/groups/l/le/lepa-unit/www/Installation/13%20-%20Cellcube%20and%20mountains.JPG,157.38,
