domain,page,document,size [KB],status_code
http://library.epfl.ch,http://library.epfl.ch/tequila/help?language=fr,,,404.0
http://library.epfl.ch,http://library.epfl.ch/cms/lang/fr/pid/115608,,,404.0
http://library.epfl.ch,http://library.epfl.ch/cms/lang/fr/pid/108542,,,404.0
http://library.epfl.ch,http://library.epfl.ch/lang/en/fileNotFound###file:/content/sites/library2/files/vie-culturelle/exposition/Expo-IL/IL-Affiche8-citation.jpg?uuid=default:fe6afa4a-af3b-4dd6-aa5c-73cd339d5d41,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/horlogerie/Presentation_EPFL_Ph.Dufour_18.02.2014_Dufour-NM_final.pptx?uuid=default:342de9d9-a60d-4d21-9f1e-845f4e045578,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/OpenData/Presentations/data-management-plan.pdf?uuid=default:9cca6904-1f8f-43e6-ba69-ff8a62087b93,,,404.0
http://library.epfl.ch,http://library.epfl.ch/cms/lang/en/pid/108542,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/OpenData/Presentations/data-management-plan.pptx?uuid=default:636a7911-91eb-402d-aa50-44b91e71b5bb,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/OpenData/Presentations/ORCID_1.pptx?uuid=default:e8e3bc2c-d497-423f-be27-645981397640,,,404.0
http://library.epfl.ch,http://library.epfl.ch/lang/en/fileNotFound###file:/content/sites/library2/files/vie-culturelle/exposition/Expo-IL/IL-Affiche4-evaluation-sources.jpg?uuid=default:ee12afd9-9bb4-4f83-bce1-ff875578f17b,,,404.0
http://library.epfl.ch,http://library.epfl.ch/news/?id=193,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/communication-2juin/powerpoint-presentation-EPFL-2_1.pdf?uuid=default:72729063-920f-49f0-ae3a-106774d00471,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/OpenData/Presentations/ETH-Zurich.pdf?uuid=default:41e4d240-03b8-44eb-8333-249f5cccc5f8,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/photo-2-philippe-dufour.jpg?uuid=default:d777c589-f68b-4ebe-ae39-687bbd700331,,,404.0
http://library.epfl.ch,http://library.epfl.ch/decouverte/?event=9&item=317,,,404.0
http://library.epfl.ch,http://library.epfl.ch/lang/en/fileNotFound###file:/content/sites/library2/files/vie-culturelle/exposition/Expo-IL/IL-Affiche2-moteur-recherche.jpg?uuid=default:352a5eb3-ce0c-4288-855e-f244f44cf777,,,404.0
http://library.epfl.ch,http://library.epfl.ch/lang/en/fileNotFound###file:/content/sites/library2/files/vie-culturelle/exposition/Expo-IL/IL-Affiche6-perennite-info.jpg?uuid=default:9029d781-ec2b-43f4-8455-7be6f19b298a,,,404.0
http://library.epfl.ch,http://library.epfl.ch/fileNotFound###file:/content/sites/library2/files/vie-culturelle/conference/OpenData/Presentations/2014-10-28 OGD Présentation Open_Research_Data.pdf?uuid=default:a9743a16-f05a-4c74-a3bf-8c3960ba1be1,,,404.0
