domain,page,document,size [KB],status_code
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/vectors/Vecteurs_Exercices.pdf,309.432,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/vectors/Vecteurs_Solutions.pdf,736.183,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_04.pdf,1180.394,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_09.pdf,893.107,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_11.pdf,697.045,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_07.pdf,910.629,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_13.pdf,571.802,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_01.pdf,1062.16,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_02.pdf,1096.184,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_03.pdf,1151.003,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_12.pdf,702.769,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_08.pdf,552.572,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_05.pdf,749.453,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_14.pdf,970.342,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_10.pdf,934.6170000000001,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-93630-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/course/Le%C3%A7on_06.pdf,758.046,
http://lifmet.epfl.ch,http://lifmet.epfl.ch/tequila/help?language=fr,,,404.0
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_13.pdf,248.535,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_12.pdf,352.454,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_11.pdf,444.644,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_10.pdf,430.646,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_09.pdf,327.29200000000003,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_08.pdf,390.861,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_07.pdf,321.094,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_06.pdf,470.568,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_05.pdf,578.82,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_04.pdf,826.362,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_01.pdf,245.338,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_03.pdf,416.773,
http://lifmet.epfl.ch/,http://lifmet.epfl.ch/page-105552-en.html/,https://documents.epfl.ch/users/g/gr/gruetter/www/BioImaging/Lecture_02.pdf,374.522,
http://lifmet.epfl.ch,http://lifmet.epfl.ch/site/lifmet/plan-du-site,,,404.0
http://lifmet.epfl.ch,http://lifmet.epfl.ch/plan-du-site,,,404.0
