domain,page,document,size [KB],status_code
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Preparative%20size%20exclusion%20chromatography.jpg,1290.026,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Differential%20Scanning%20Calorimeter.jpg,1495.516,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Thermogravimetric%20analyzer.jpg,2002.332,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Close-up%20of%20the%20AFM%20sample%20stage.jpg,1704.191,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Inert%20gas%20and%20vacuum%20synthesis%20hood.jpg,986.402,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Vacuum%20%28or%20gas%29%20tube%20furnace%20up%20to%201200%C2%B0C.jpg,984.746,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Laminar%20flow%20hood%20for%20clean%20device%20fabrication.jpg,1400.907,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Gloveboxes%20for%20device%20fabrication%20and%20testing%20in%20inert%20enviroments.jpg,1724.646,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Inside%20of%20the%20fabication%20glovebox.jpg,1069.728,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Kurt%20J.%20Lesker%20deposition%20system%20integrated%20into%20glovebox%20%28Sputter%20and%20thermal%20deposition%29.jpg,997.836,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Custom%20device%20testing%20probe%20station.jpg,1652.731,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Device%20testing%20electronics%20and%20potentiostat.jpg,1745.8,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Integrating%20shere%20in%20a%20double%20monochromator%20UV-VIS-NIR%20spectrophotometer.jpg,1213.7450000000001,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226-en.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Cypher%20atomic%20force%20microscope%20from%20Asylum%20Research.jpg,936.751,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Preparative%20size%20exclusion%20chromatography.jpg,1290.026,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Differential%20Scanning%20Calorimeter.jpg,1495.516,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Thermogravimetric%20analyzer.jpg,2002.332,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Close-up%20of%20the%20AFM%20sample%20stage.jpg,1704.191,
http://limno.epfl.ch/,http://limno.epfl.ch/page-82226.html/,https://documents.epfl.ch/users/s/si/sivula/www/Equipment%20pics/Inert%20gas%20and%20vacuum%20synthesis%20hood.jpg,986.402,
