domain,page,document,size [KB],status_code
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-119747-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Lab%20Ski%20Day%202015/DSC_0199.JPG,6431.225,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-119747-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Lab%20Ski%20Day%202015/DSC_0200.JPG,6547.692,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-119747-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Lab%20Ski%20Day%202015/DSC_0202.JPG,7002.251,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-119747-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Lab%20Ski%20Day%202015/DSC_0201.JPG,6623.278,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-116540-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Xmas%20party%202014/IMG_2301.JPG,1540.212,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-116540-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Xmas%20party%202014/IMG_4316.jpg,361.82300000000004,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-116540-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Xmas%20party%202014/IMG_4319.jpg,384.092,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-116540-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Xmas%20party%202014/IMG_4330.jpg,487.535,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-116540-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Xmas%20party%202014/IMG_4645.jpg,103.26,
http://lingner-lab.epfl.ch/,http://lingner-lab.epfl.ch/page-116540-en.html/,https://documents.epfl.ch/users/t/tl/tlunardi/www/Xmas%20party%202014/IMG_4663.jpg,140.65800000000002,
