domain,page,document,size [KB],status_code
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/1,87.864,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/2,161.657,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/3,115.958,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/4,251.06300000000002,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/7,157.56,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/5,192.28900000000002,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/8,172.059,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Lac%20de%20Gruy%C3%A8re%20et%20Maion%20Cailler%2C%2010.09.2014/6,340.591,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Les%20Paccots%2C%2014.12.2012/1,196.434,
http://linx.epfl.ch/,http://linx.epfl.ch/page-89406-fr.html/,https://documents.epfl.ch/groups/l/li/linx-unit/www/photos%20Les%20Paccots%2C%2014.12.2012/2,155.141,
