domain,page,document,size [KB],status_code
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/May%202013%20-%20LIPID%20group.jpg,368.806,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/May%202013%20-%20LIPID%20meeting%20part01.jpg,605.554,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/June%202013%20-%20Eurotech%20meeting.jpg,229.606,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/May%202013%20-%20LIPID%20meeting%20part02.jpg,2058.261,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/Dec%202013%20-%20IDEAS%20lunch.jpg,370.204,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/Jan%202015%20-%20IDEAS%20lunch.jpg,232.899,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Internal/Feb%202015%20-%20LIPID%20group.jpg,283.38800000000003,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/External/CIE%202013%20Paris.jpg,400.91200000000003,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/External/LuxEuropa%202013%20Krakow%20part01.JPG,180.976,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/External/LuxEuropa%202013%20Krakow%20part03.jpg,91.006,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/External/Velux%202013%20Copenhagen.jpg,605.957,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/External/LuxEuropa%202013%20Krakow%20part02.JPG,245.947,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/External/BSA%202015%20Bolzano.jpg,210.531,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Social/IDEAS%20outing%202013%20part02.jpg,118.83200000000001,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Social/LIPID%20burner%202012%20part02.jpg,89.018,
http://lipid.epfl.ch/,http://lipid.epfl.ch/laboratoire/gallery/,https://documents.epfl.ch/groups/l/li/lipid/www/Gallery/Social/LIPID%20burner%202012%20part01.jpg,123.789,
