domain,page,document,size [KB],status_code
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/8%20The%20alphorn%20concert%20at%20the%20Gala%20Dinner.jpg,185.401,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/7%20The%20LMS%20%E2%80%93%20Chair%20Gaz%20Naturel%20%E2%80%93%20Petrosvibri%20group%20with%20a%20swiss%20cow%20at%20the%20Gala%20Dinner.jpg,291.344,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/6%20Dr.%20Chao%20Li%20%28in%20the%20middle%29%20with%20the%20chinese%20community%20at%20GHGT-13%20.jpg,292.621,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/5%20Mr.%20Matteo%20Bocco%20explaining%20the%20activities%20of%20the%20Chair%20to%20a%20visitor%20.jpg,187.531,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/4%20Morning%20break.jpg,271.128,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/3%20The%20opening%20aperitif%20at%20the%20Olympic%20Museum.jpg,159.266,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/2%20Dr.%20Gunter%20Siddiqi%20%28SFOE%29%2C%20Mr.%20Neet%20Cornelis%20%28Canton%20de%20Vaud%29%20%2CMr.%20Jean-Yves%20Pidoux%20%28City%20of%20Lausanne%29%2C%20Prof.%20Lyesse%20Laloui%20%28EPFL%29%2C%20Mr.%20Ren%C3%A9%20Bautz%20%28GAZNAT%29%20.jpg,213.066,
http://lms.epfl.ch/,http://lms.epfl.ch/page-139412-en.html/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Lab_Logs/GHGT%2013/1%20Prof.%20Lyesse%20Laloui%20giving%20the%20welcome%20speech%20at%20the%20Olympic%20Museum.jpg,277.02500000000003,
http://lms.epfl.ch/,http://lms.epfl.ch/notre-laboratoire/invites/prof-alshibli_1_1/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Visites/ProfAlshibli/1,104.229,
http://lms.epfl.ch/,http://lms.epfl.ch/notre-laboratoire/invites/prof-alshibli_1_1/,https://documents.epfl.ch/groups/l/lm/lms-unit/www/Visites/ProfAlshibli/2,88.426,
