domain,page,document,size [KB],status_code
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/11%20Rouge%20FM%20radio%20presentation%20-%20June%202017.jpg,2021.472,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/10%20LNB%20ice%20skating%20-%20November%202016.JPG,198.507,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/09%20LNB%20ice%20skating%20-%20November%202016.JPG,168.79,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/08%20LNB%20ice%20skating%20-%20November%202016.JPG,309.117,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/07%20LNB%20hiking%20-%20May%202016.JPG,8118.6900000000005,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/06%20LNB%20hiking%20-%20May%202016.JPG,6074.83,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/05%20LNB%20hiking%20-%20May%202016.JPG,7297.736,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/04%20LNB%20hiking%20-%20May%202016.JPG,7373.068,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/03%20Group%20picture%20in%20front%20of%20Rolex%20Center%20-%20September%202016.jpeg,6666.0960000000005,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/02%20Christmas%20dinner%20at%20Chalet%20Suisse%20-%20December%202016.jpeg,1199.0810000000001,
http://lnb.epfl.ch/,http://lnb.epfl.ch/page-146224-en.html/,https://documents.epfl.ch/groups/l/ln/lnb-unit/public/LNB%20pictures/01%20Christmas%20dinner%20at%20Chalet%20Suisse%20-%20December%202015.jpeg,1061.844,
http://lnb.epfl.ch,http://lnb.epfl.ch/tequila/help?language=fr,,,404.0
