domain,page,document,size [KB],status_code
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2005.jpg,199.529,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2006.jpg,116.708,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2007.jpg,175.522,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2008.jpg,370.688,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2009.jpg,68.232,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2011.jpg,87.357,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2013.jpg,351.685,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2016.jpg,5692.075,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/l/la/lance/www/Team/2017.jpg,1455.8210000000001,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/92.jpg,656.46,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/91.jpg,1391.067,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/9.jpg,2184.073,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/8.jpg,2139.512,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/7.jpg,1509.807,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/6.jpg,2757.477,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/5.jpg,1999.751,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/4.jpg,874.948,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/3.jpg,936.568,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/2.jpg,532.304,
http://lnco.epfl.ch/,http://lnco.epfl.ch/photos/,https://documents.epfl.ch/users/j/jb/jbello/www/Silvia/1.jpg,804.211,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/1%20RealiSM%20Project.png,2523.715,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/5%20Setup.png,2301.186,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/7%20Setup.png,2932.2490000000003,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/2%20RealiSM%20Project.png,3515.533,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/3%20Composer.png,1969.873,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/4%20Composer.png,986.7760000000001,
http://lnco.epfl.ch/,http://lnco.epfl.ch/realism/,https://documents.epfl.ch/users/j/jb/jbello/www/RealiSM/6%20Setup.png,3127.852,
http://lnco.epfl.ch,http://lnco.epfl.ch/tequila/help?language=fr,,,404.0
http://lnco.epfl.ch,http://lnco.epfl.ch/anna.sforza,,,404.0
http://lnco.epfl.ch,http://lnco.epfl.ch/cms/lang/en/pid/26374,,,404.0
http://lnco.epfl.ch,http://lnco.epfl.ch/cms/page-26388.html,,,404.0
