domain,page,document,size [KB],status_code
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Christmas%20dinner%20at%20Cafe%20des%20Avenues%2020%20December%202017,1484.952,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Group%20dinner%20at%20AIChE%20Minneapolis%2030%20October%202017,151.437,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Group%20dinner%20at%20Cafe%20les%20Alli%C3%A9s%2025%20October%202017,4109.445,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Christmas%20dinner%20at%20Brasserie%20de%20Montbenon%2012%20December%202016,1318.497,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Group%20dinner%20at%20Cafe%20de%20Grancy%2019%20October%202016.JPG,1580.813,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Christmas%20dinner%20at%20Cafe%20les%20Alli%C3%A9s%2019%20December%202015,1337.292,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Group%20dinner%20at%20Cafe%20les%20Alli%C3%A9s%204%20September%202015,1225.169,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Group%20dinner%20at%20Cafe%20Romand%2017%20October%202014,2434.331,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Group%20outings/Christmas%20dinner%20at%20Brasserie%20de%20Montbenon%2012%20December%202014,6024.021,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Renovation%20of%20the%20lab/Equipment%20ordered,77.738,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Renovation%20of%20the%20lab/The%20Beginning,1439.224,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Renovation%20of%20the%20lab/Small%20Lab,82.027,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Renovation%20of%20the%20lab/One%20of%20the%20main%20rooms,107.22800000000001,
http://lpdc.epfl.ch/,http://lpdc.epfl.ch/gallery/,https://documents.epfl.ch/groups/l/lp/lpdc-unit/www/Renovation%20of%20the%20lab/Work%20being%20started,112.915,
http://lpdc.epfl.ch,http://lpdc.epfl.ch/tequila/help?language=fr,,,404.0
