domain,page,document,size [KB],status_code
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/19.01.18%20-%20Archery/website/06_%20LSMS%20-%20EPFL%20%2819%20Jan%202018%29-52-X4.jpg,1067.021,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/19.01.18%20-%20Archery/website/_MG_5609.JPG,2992.27,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/19.01.18%20-%20Archery/website/_MG_5601.JPG,3147.301,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/19.01.18%20-%20Archery/website/_MG_5599.JPG,2589.472,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/11.10.17%20-%20Raclette%20Fabian/website/IMG_20171011_212129299.jpg,1463.9660000000001,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/11.10.17%20-%20Raclette%20Fabian/website/IMG_20171011_212104093.jpg,1238.498,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/11.10.17%20-%20Raclette%20Fabian/website/IMG_20171011_202330202.jpg,1447.8410000000001,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/11.10.17%20-%20Raclette%20Fabian/website/IMG_20171011_202249192.jpg,1354.318,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/11.10.17%20-%20Raclette%20Fabian/website/IMG_20171011_200156.jpg,3027.705,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/04.09.17%20-%20Retreat%20%40%20Locarno/website/IMG_1651.JPG,106.181,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/04.09.17%20-%20Retreat%20%40%20Locarno/website/21316188_10159373571170014_4887387903483367708_o.jpg,433.372,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/03.16.16-lab_retreat_leysin/IMG_1078_postprocess.JPG,6207.393,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/12.21.15-end_of_year/3.jpg,1496.097,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/12.21.15-end_of_year/2.jpg,1593.232,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/12.21.15-end_of_year/1.jpg,1441.582,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/17.12.13%20-%20End-of-year%20dinner%20at%20Le%20Chalet%20Suisse/chalet1.JPG,2024.457,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-59372-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/lab%20life/17.12.13%20-%20End-of-year%20dinner%20at%20Le%20Chalet%20Suisse/chalet2.JPG,2037.781,
http://lsms.epfl.ch,http://lsms.epfl.ch/site/lsms/sitemap,,,403.0
http://lsms.epfl.ch,http://lsms.epfl.ch/sitemap,,,403.0
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-69050-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/3d_beams_project/comparison.png,469.184,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-69050-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/3d_beams_project/moment.png,144.28,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-69050-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/3d_beams_project/torsion.png,156.66400000000002,
http://lsms.epfl.ch,http://lsms.epfl.ch/cms/lang/en/pid/52145,,,403.0
http://lsms.epfl.ch,http://lsms.epfl.ch/tequila/help?language=fr,,,404.0
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-123086-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/Monte-Carlo/Resulting%20probability%20density%20function%20of%20maximum%20displacement.png,11.57,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-123086-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/Monte-Carlo/Point%20cloud%20describing%20the%20effect%20of%20concrete%20elastic%20modulus%20on%20the%20maximum%20displacement.png,27.627,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-123086-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/Monte-Carlo/Deformations%20for%20average%20material%20properties.png,210.619,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-123086-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/Monte-Carlo/Finite%20Element%20Mesh%20%20of%20studied%20dam.png,161.65800000000002,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-123080-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/FEM_stability_problems/Hourglassing%20illustration%20for%20bilinear%20element.png,97.788,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-123080-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/FEM_stability_problems/Volumetric%20locking%20evolution%20of%20nodal%20displacement%20for%20increasing%20coefficient%20of%20Poisson.PNG,70.249,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-122700-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/dam_benchmark/Hoop%20stress%20in%20cross%20section%20at%20time%2013%27%27.png,40.754,
http://lsms.epfl.ch/,http://lsms.epfl.ch/page-122700-en.html/,https://documents.epfl.ch/groups/l/ls/lsms-unit/www/students_projects/dam_benchmark/Dam%20displacement%20shape%20at%2013%27%27%20during%20the%20earthquake%20%28amplify%20by%20500%20times%29.png,71.672,
