domain,page,document,size [KB],status_code
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/15_Foto14.jpg,1404.3790000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/14-Foto13.jpg,1450.2640000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/13-Foto12.jpg,716.495,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/12-Foto11.jpg,1099.913,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/11-Foto10.jpg,1102.5140000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/10-Foto9.jpg,377.683,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/09-Foto8.jpg,1152.867,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/08-Foto7.jpg,955.3870000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/07-Foto6.jpg,813.5600000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/06-Foto5.jpg,981.852,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/05-Foto4b.jpg,411.821,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/04-Foto4a.jpg,811.192,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/03-Foto3.jpg,312.93,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/02-Foto2.jpg,1519.4950000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-138531-en.html/,https://documents.epfl.ch/groups/m/mi/mir-unit/public/Infrastrukturtagung-2016-Fotogallerie/01-Foto1.jpg,1444.884,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_08.jpg,340.856,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_10.jpg,241.555,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_13.jpg,175.907,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_19.jpg,154.90200000000002,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_01.jpg,413.449,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_17.jpg,178.489,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_20.jpg,108.58800000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_22.jpg,107.099,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_29.jpg,290.543,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_03.jpg,188.00300000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_23.jpg,110.465,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_04.jpg,184.986,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_11.jpg,229.395,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_05.jpg,204.29500000000002,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_21.jpg,142.635,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_24.jpg,226.14600000000002,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_28.jpg,214.132,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_06.jpg,255.659,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_16.jpg,122.06400000000001,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_25.jpg,169.939,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_07.jpg,208.686,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_09.jpg,261.1,
http://mir.epfl.ch/,http://mir.epfl.ch/page-114851-en.html/,https://documents.epfl.ch/users/z/zz/zzhu/public/UVEK2014/infrastrukturtagung_2014_14.jpg,143.845,
