domain,page,document,size [KB],status_code
http://oche.epfl.ch,http://oche.epfl.ch/plan-du-site,,,404.0
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Fall%202016.jpg,136.853,
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Spring%202016.jpg,204.977,
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Fall%202015.jpg,45.181000000000004,
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Spring%202015.jpg,174.77,
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Fall%202014.jpg,52.959,
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Spring%202014.jpg,62.691,
http://oche.epfl.ch/,http://oche.epfl.ch/media/affiches/,https://documents.epfl.ch/groups/o/oc/oche/www/affiches/Fall%202013.jpg,30.276,
http://oche.epfl.ch,http://oche.epfl.ch/site/oche/plan-du-site,,,404.0
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-31.jpg,61.291000000000004,
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-32.jpg,66.79,
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-33.jpg,87.586,
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-34.jpg,63.435,
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-35.jpg,81.824,
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-36.jpg,89.92,
http://oche.epfl.ch/,http://oche.epfl.ch/photos/printemps-2017/,https://documents.epfl.ch/groups/o/oc/oche/www/photos/2017/spring/SPO/OChE_240517_MyriamLiardon-37.jpg,82.327,
