domain,page,document,size [KB],status_code
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/Glass%20Fiber%2C%20G-WEAVETM%20%20600T%20%28PA%29%2C%20Chomarat.jpg,192.333,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/Glass%20Fiber%2C%20G-PLY%20TM%20%20BT%20725%20C3%2C4%20%28PA%29%2C%20Chomarat.jpg,195.85,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20map%20of%20the%20void%27s%20thickness%20along%20an%20open%20rock%20fracture%20plane.JPG,85.792,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20volume%20of%20open%20fractures%20%28in%20red%29%20%20in%20a%20layered%20rock%20sample.JPG,93.508,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20volume%20of%20earthworm%20galleries%20in%20a%20soil_%231.jpg,14.042,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20volume%20of%20wood%20vessels%20in%20a%20wood%20sample%20.jpg,105.413,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20skeletonization%20of%20a%20Salix%20root%20.jpg,44.423,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20volume%20of%20gravels%20in%20lacustrine%20rock%20sample.jpg,78.769,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20volume%20of%20earthworm%20galleries%20in%20a%20soil_%232.jpg,166.903,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20volume%20of%20a%20clay%20infill%20within%20a%20rock%20fracture.JPG,36.594,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20skeletonized%20cracks%20in%20a%20rock%20sample.jpg,114.584,
http://pixe.epfl.ch/,http://pixe.epfl.ch/,https://documents.epfl.ch/groups/e/ec/ecos-unit/www/PIXE-website/homepage-tomo-gallery/X-ray%20CT%20slice%20through%20a%20wood%20sample%20.jpg,92.059,
