domain,page,document,size [KB],status_code
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/T%C3%AAte%20laser%20%C3%A0%20graver%202.jpg,1900.787,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Transducer1.jpg,2805.302,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Plan%20inclin%C3%A92.jpg,582.523,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Montage%20mod%C3%A8le%20barrage%20OSTUR.JPG,263.671,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Mesure%20optique%20capteurs%20color%C3%A9s%20LESO.jpg,394.705,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/IMG_0078.JPG,262.576,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Gondo_Modele_ST.tif,4468.884,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Cellule%20avec%20connecteur2.jpg,558.942,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Cellule%20%20triax1%20TPI%20David%20LMS%203.jpg,1794.607,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Bo%C3%AEte%20transfert%20evaporatrice2.jpg,2206.7490000000003,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Atelier%20142.jpg,2353.18,
http://plte.epfl.ch/,http://plte.epfl.ch/iic1_realisations/,https://documents.epfl.ch/groups/i/ii/iic-unit/www/Atelier%20IIC1/R%C3%A9alisations/Atelier%20057.jpg,920.323,
http://plte.epfl.ch,http://plte.epfl.ch/plan-du-site,,,404.0
http://plte.epfl.ch,http://plte.epfl.ch/site/enac-atelier/plan-du-site,,,404.0
http://plte.epfl.ch,http://plte.epfl.ch/tequila/help?language=fr,,,404.0
