domain,page,document,size [KB],status_code
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04193.JPG,4325.376,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04194.JPG,2162.688,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04195.JPG,3997.696,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04197.JPG,3244.032,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04198.JPG,3702.784,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04199.JPG,4685.8240000000005,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04200.JPG,2883.584,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04201.JPG,2850.8160000000003,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04202.JPG,2588.672,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04203.JPG,3735.552,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04204.JPG,2949.12,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04205.JPG,3866.6240000000003,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04206.JPG,3637.248,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04207.JPG,3375.1040000000003,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04209.JPG,3670.016,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04210.JPG,3211.264,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04213.JPG,3309.568,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04214.JPG,3375.1040000000003,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04215.JPG,3702.784,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04216.JPG,4521.984,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04217.JPG,3309.568,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04218.JPG,3768.32,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04219.JPG,3276.8,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04221.JPG,3112.96,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04222.JPG,3112.96,
http://polyjapan.epfl.ch/,http://polyjapan.epfl.ch/page-125534-fr.html/,https://documents.epfl.ch/groups/p/po/polyjapan-unit/www/Blog/Kaguya%20Hime/DSC04225.JPG,2686.976,
