domain,page,document,size [KB],status_code
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-int-biblio.jpg,4689.942,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-jour.jpg,1756.184,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit.jpg,3164.857,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit-2.jpg,2068.513,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-patio-ext-nuit.jpg,1642.912,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-jour-2.jpg,13709.7,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit-3.jpg,14556.967,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit-4.jpg,11693.115,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-fr.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-int-biblio-2.jpg,2139.206,
http://rolexlearningcenter.epfl.ch,http://rolexlearningcenter.epfl.ch/tequila/help?language=fr,,,404.0
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-int-biblio.jpg,4689.942,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-jour.jpg,1756.184,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit.jpg,3164.857,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit-2.jpg,2068.513,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-patio-ext-nuit.jpg,1642.912,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-jour-2.jpg,13709.7,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit-3.jpg,14556.967,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-ext-nuit-4.jpg,11693.115,
http://rolexlearningcenter.epfl.ch/,http://rolexlearningcenter.epfl.ch/page-54811-en.html/,https://documents.epfl.ch/groups/v/vp/vppl-unit/www/photos-RLC/RLC-vue-int-biblio-2.jpg,2139.206,
