domain,page,document,size [KB],status_code
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/IMG_2591.jpg,974.131,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/IMG_3502.jpg,1500.551,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/20160610_133348.jpg,4108.828,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3943.jpg,445.028,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3887.jpg,475.395,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3871.jpg,447.75600000000003,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3755.jpg,577.883,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3679.jpg,483.836,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3651.jpg,572.227,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3610.jpg,487.785,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3591.jpg,386.976,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3585.jpg,539.961,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3582.jpg,7749.158,
http://sber.epfl.ch/,http://sber.epfl.ch/pictures/,https://documents.epfl.ch/groups/w/we/web-enac/www/sber/j1E4A3575.jpg,483.277,
