domain,page,document,size [KB],status_code
http://scc.epfl.ch/,http://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/5_Liquid_waste_container_in_AI%200235_or_SV%200515.jpg,423.133,
http://scc.epfl.ch/,http://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/4_Elimination_of_antibiotics.jpg,317.397,
http://scc.epfl.ch/,http://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/3_Liquid_Biological_Waste_for_SV.jpg,105.428,
http://scc.epfl.ch/,http://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/2_Liquid_Biological_Waste_for_EPFL.jpg,87.497,
http://scc.epfl.ch/,http://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/1_P1_Biological_Waste.jpg,202.701,
http://scc.epfl.ch,http://scc.epfl.ch/site/sbsst/page-22926-en.html,,,404.0
http://scc.epfl.ch,https://scc.epfl.ch/page-150485-en.html,,,403.0
http://scc.epfl.ch,https://scc.epfl.ch/site/sbsst/page-37575-en.html,,,404.0
http://scc.epfl.ch/,http://scc.epfl.ch/page-150489-en.html/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Bio-Incompatibilities/2.%20Examples%20of%20incompatible%20products.png,1875.057,
http://scc.epfl.ch/,http://scc.epfl.ch/page-150489-en.html/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Bio-Incompatibilities/1.%20Potentially%20explosive%20combinations%20of%20common%20reagents.png,1757.049,
http://scc.epfl.ch,http://scc.epfl.ch/tequila/help?language=fr,,,404.0
http://scc.epfl.ch,http://scc.epfl.ch/site/sbsst/page-46819-en.html,,,404.0
http://scc.epfl.ch/,https://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/5_Liquid_waste_container_in_AI%200235_or_SV%200515.jpg,423.133,
http://scc.epfl.ch/,https://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/4_Elimination_of_antibiotics.jpg,317.397,
http://scc.epfl.ch/,https://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/3_Liquid_Biological_Waste_for_SV.jpg,105.428,
http://scc.epfl.ch/,https://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/2_Liquid_Biological_Waste_for_EPFL.jpg,87.497,
http://scc.epfl.ch/,https://scc.epfl.ch/Biological-Waste/,https://documents.epfl.ch/groups/s/sc/scc-unit/www/Biological%20waste/1_P1_Biological_Waste.jpg,202.701,
