domain,page,document,size [KB],status_code
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2016.jpg,90.414,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2015.jpg,88.675,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2014.jpg,81.973,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2013.jpg,89.393,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2012.jpg,89.259,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2011.jpg,87.42,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%2010.jpg,55.706,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%209.jpg,90.186,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%208.jpg,90.538,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%207.jpg,85.703,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%206.jpg,80.151,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%205.jpg,87.436,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%204.jpg,90.123,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%203.jpg,63.785000000000004,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%202.jpg,90.916,
http://schoonjans-lab.epfl.ch/,http://schoonjans-lab.epfl.ch/page-138936-en.html/,https://documents.epfl.ch/users/d/de/demagny/www/JOM%20Schoonjans/DNA%20Extraction%201.jpg,94.554,
http://schoonjans-lab.epfl.ch,http://schoonjans-lab.epfl.ch/tequila/help?language=fr,,,404.0
