domain,page,document,size [KB],status_code
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2016.02.35.jpg,1862.8700000000001,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2013.43.33.jpg,2033.8590000000002,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2011.00.15.jpg,1165.634,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.59.57.jpg,1956.428,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.59.jpg,1978.184,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.40.jpg,1992.863,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.16.jpg,1326.1970000000001,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.00.jpg,1310.625,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.50.jpg,1286.101,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.42.jpg,1344.758,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.37.jpg,1144.222,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.11.jpg,1785.363,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.51.jpg,1826.804,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.41.jpg,1702.896,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.29.jpg,1753.474,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.19.jpg,1862.605,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.11.jpg,1853.643,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.59-1.jpg,2091.078,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.51.jpg,2362.337,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.34.jpg,1869.4080000000001,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.20.jpg,2104.206,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.09.jpg,1674.787,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.29.56.jpg,1109.051,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.59.53.jpg,992.004,
http://sfi.epfl.ch/,http://sfi.epfl.ch/SwissquoteConference2017/,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.57.45.jpg,1332.528,
