domain,page,document,size [KB],status_code
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_096.JPG,61.467,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_095.JPG,63.284,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_094.JPG,48.151,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_093.JPG,56.967,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_092.JPG,56.771,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_090.JPG,111.86200000000001,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_088.JPG,108.643,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_085.JPG,93.947,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_084.JPG,83.32300000000001,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_083.JPG,79.624,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_082.JPG,74.119,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160829_081.JPG,129.291,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160829_080.JPG,124.773,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160829_079.JPG,83.775,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160829_078.JPG,106.382,
http://smlms.epfl.ch/,http://smlms.epfl.ch/page-137027-en.html/,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160829_077.JPG,77.44200000000001,
