domain,page,document,size [KB],status_code
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040452.jpg,2916.493,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040710.JPG,4419.05,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040451.jpg,2776.023,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040452.JPG,4728.744,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040451.JPG,4709.785,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040486.JPG,4669.474,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040464.JPG,4721.258,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040466.JPG,4413.872,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040711.JPG,3817.725,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040455.JPG,4695.2390000000005,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040505.JPG,3716.02,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040509.JPG,3338.4900000000002,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040524.JPG,2924.844,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040553.JPG,3816.29,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040541.JPG,3201.849,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040569.JPG,4644.345,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040588.JPG,4644.309,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040596.JPG,3343.2290000000003,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040604.JPG,2794.389,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040566.JPG,3194.786,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040615.JPG,3484.638,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040582.JPG,4854.252,
http://space.epfl.ch/,http://space.epfl.ch/page-93462-en.html/,https://documents.epfl.ch/groups/c/ct/cts-ge-unit/www/SDTP2012/P1040678.JPG,4951.1410000000005,
