domain,page,document,size [KB],status_code
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2613.jpg,95.111,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2617.jpg,81.049,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2612.jpg,87.842,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2615.jpg,84.934,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2619.jpg,76.601,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2614.jpg,92.708,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2616.jpg,77.632,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/page-93195-fr.html/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/OpEDM/IMG_2618.jpg,68.789,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-13h46m00.JPG,66.32600000000001,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-11h28m39.JPG,55.664,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-09h16m58.JPG,56.025,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-08h37m02.JPG,56.135,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-08h09m26.JPG,67.846,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-08h05m44.JPG,51.289,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-08h04m57.JPG,73.94200000000001,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2015/2015-11-12-14h31m45.JPG,75.738,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_05.jpg,138.144,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_08.jpg,130.296,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_06.jpg,154.25300000000001,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_04.jpg,135.294,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_09.jpg,169.178,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_02.jpg,142.525,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_07.jpg,123.008,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2014/JOM2014_03.jpg,147.251,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_07.jpg,127.285,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_06.jpg,127.781,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_14.jpg,126.79,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_03.jpg,132.191,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_05.jpg,119.211,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_09.jpg,124.232,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_10.jpg,121.407,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_16.jpg,142.63,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_17.jpg,183.607,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_11.jpg,128.298,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_13.jpg,154.562,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_02.jpg,109.763,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_04.jpg,115.266,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_08.jpg,123.351,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_12.jpg,134.705,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2013/JOM2013_15.jpg,124.453,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2012/2.jpg,144.609,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2012/4.jpg,153.058,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2012/1.jpg,136.284,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2012/3.jpg,96.839,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/3.jpg,79.994,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/4.jpg,62.634,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/5.jpg,61.783,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/6.jpg,77.959,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/7.jpg,55.854,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/8.jpg,90.872,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/1.jpg,57.177,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2011/2.jpg,76.87,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-17h53m09.JPG,53.731,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-14h13m35.JPG,68.668,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-14h11m41.JPG,60.518,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-14h09m15.JPG,65.302,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-11h08m40.JPG,63.425000000000004,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-11h01m52.JPG,65.733,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-09h59m28.JPG,66.73,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2009/2009-11-12-17h57m11.JPG,78.4,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-14h14m25.JPG,47.626,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-14h13m42.JPG,58.789,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-14h12m21.JPG,38.497,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-13h14m28.JPG,62.99,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-11h16m12.JPG,55.234,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-10h37m54.JPG,60.480000000000004,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-10h23m29.JPG,56.11,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2008/2008-11-13-16h46m54.JPG,74.767,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-09-09h21m13.JPG,61.962,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-09-08h04m28.JPG,51.95,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-08-16h13m41.jpg,56.785000000000004,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-08-16h11m11.jpg,76.916,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-08-10h24m53.jpg,72.205,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-08-10h19m17.jpg,72.71600000000001,
http://sti-ateliers.epfl.ch/,http://sti-ateliers.epfl.ch/atmx-jom/,https://documents.epfl.ch/groups/a/at/atmx-unit/www/formation/JOM2007/2007-11-08-10h10m55.jpg,70.396,
