domain,page,document,size [KB],status_code
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Scientist%2BAustrianni.pdf,120.58200000000001,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Postdoc_Ad_Hantschel_ERC.pdf,122.73100000000001,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Scientific%2BCollaborator%2B-%2BHUG_final.pdf,350.434,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Scientific%2BCollaborator%2B-%2BEPFL.pdf,275.724,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Group_leader_IGH-CNRS_Montpellier.pdf,141.544,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Assistant%2BProfessor%2BIn%2BEpigenetics%2B-%2BTurkey.pdf,57.844,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Postdoc_Neuroscience_Kings_College_London.pdf,31.785,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Teanure_track_Structural_Biology_Weizmann_Israel.pdf,33.732,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Group_Leader_Berlin_Personalised_Medicine_Systems_%2BBiology.pdf,73.46000000000001,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Group-Leader-IGC-Portugal.pdf,237.816,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Group_leader_CeMM_Vienna.pdf,504.065,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Junior_Group_Leader_Advert_CIML_Labex.pdf,110.592,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Careers%40Singapore-ResearchAcademia-FEB2015-Combined.pdf,1975.134,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Job%2Bdescription%2Bfor%2Ba%2Bpharmacology%2Bfaculty%2B%28Long%2BIsland%2BUniversity%29.pdf,304.817,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Postdoc%2BBioinformatic%2BBelgium%2B2015.pdf,123.744,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/LS2_Scientific_Officer_2014.pdf,186.508,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Postdoc_NIH_somatosensory_circuits.pdf,129.949,
http://sv-postdoc.epfl.ch/,http://sv-postdoc.epfl.ch/service/find_a_job/,https://documents.epfl.ch/groups/a/ad/adminpd.sv/dropbox/Job%20ads/Postdoc-CaliforniaLA.docx,89.822,
