domain,page,document,size [KB],status_code
http://sv-safety.epfl.ch,http://sv-safety.epfl.ch/tequila/help?language=fr,,,404.0
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-119332-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Gloves/Gloves_YES.png,411.61,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-119332-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Gloves/Gloves_NO.jpg,53.52,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/biological-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Biological_waste/4_Elimination_of_antibiotics.jpg,317.397,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/biological-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Biological_waste/3_Liquid_waste_container_in_AI_0235_or_SV_0515.jpg,423.133,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/biological-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Biological_waste/2_Treatment_and_elimination_of_liquid_biological_waste.png,303.90000000000003,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/biological-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Biological_waste/1_Poster_tri_des_d%C3%A9chets.jpg,297.291,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/AI_Floor_2.jpg,22.446,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/SV_Floor_3.jpg,20.475,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/AI_Floor_3.jpg,21.599,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/SV_Floor_1.jpg,18.204,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/SV_Floor_2.jpg,18.784,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/AI_Floor_1.jpg,24.064,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/page-93493-en.html/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Emergency_Chemical_Spill_Kit/AI_Floor_0.jpg,21.503,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/Clean%20container.pdf,123.757,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/200117_Chemical%20from%20photography.pdf,126.885,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/180102_Inactivated%20biological%20waste.pdf,140.347,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/180101_Used%20syringes%20and%20needles.pdf,123.214,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/160598_Unknown%20chemical%20waste.pdf,128.497,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/160506_Special%20waste.pdf,151.487,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/160303_Mineral%20waste.pdf,312.236,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/150202_Absorbent%20contaminated%20with%20a%20chemical.pdf,140.924,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/150110_Chemically%20contaminated%20material.pdf,141.962,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/130702_Essence%20-%20K%C3%A9ros%C3%A8ne.pdf,297.721,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/130702_Blank%20label.pdf,214.828,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/130208_Oil%20waste.pdf,126.156,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/070104_Non-halogenated%20waste%20-%20Yellow.pdf,213.854,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/070104_Non-halogenated%20waste%20-%20White.pdf,214.201,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/070103_Halogenated%20waste%20-%20white.pdf,232.594,
http://sv-safety.epfl.ch/,http://sv-safety.epfl.ch/chemical-waste/,https://documents.epfl.ch/groups/s/sv/sv-bs-unit/www/Chemical_waste_labels/070103_Halogenated%20waste%20-%20Blue.pdf,231.05100000000002,
