domain,page,document,size [KB],status_code
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2011%20Gut%20Microbiota%20Symposium-1.jpg,139.983,
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2012%20Swiss%20Drosophila%20Meeting.jpg,89.108,
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2012%20Life%20Science%20Symposium.jpg,441.632,
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2011%20Indo-Swiss%20Symposium.jpg,481.363,
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2013%20Immunology%20Meeting.jpg,62.455,
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2014%20EMYH.jpg,543.224,
http://sv.epfl.ch/,http://sv.epfl.ch/page-124374-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/past%20symposia%20%26%20workshops/2012%20SWIMM.jpg,123.889,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2817%29.jpg,4371.528,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2816%29.jpg,3894.319,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2815%29.jpg,3877.911,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2814%29.jpg,3581.347,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2813%29.jpg,4310.702,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2812%29.jpg,3879.2200000000003,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2811%29.jpg,3564.761,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2810%29.jpg,3673.5840000000003,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2809%29.jpg,4557.22,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2808%29.jpg,3869.839,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2807%29.jpg,3365.1730000000002,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2806%29.jpg,3324.1440000000002,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2805%29.jpg,3749.956,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2804%29.jpg,3539.725,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2803%29.jpg,3212.15,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2802%29.jpg,4237.889,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202016/GHI%20ISREC%20Christmas%20Party%202015%20%2801%29.jpg,4715.674,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2809%29.jpg,988.83,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2808%29.jpg,513.607,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2806%29.jpg,921.625,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2805%29.jpg,316.771,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2804%29.jpg,328.985,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2807%29.jpg,514.889,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2803%29.jpg,853.066,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2801%29.jpg,367.108,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2802%29.jpg,520.691,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2830%29.jpg,571.812,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2829%29.jpg,622.474,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2828%29.jpg,638.9110000000001,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2827%29.jpg,568.87,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2826%29.jpg,533.091,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2825%29.jpg,555.07,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2824%29.jpg,640.384,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2823%29.jpg,573.745,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2822%29.jpg,562.303,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2821%29.jpg,569.669,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2820%29.jpg,550.8870000000001,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2819%29.jpg,953.0360000000001,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2818%29.jpg,761.135,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2817%29.jpg,645.961,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2816%29.jpg,779.619,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2815%29.jpg,644.337,
http://sv.epfl.ch/,http://sv.epfl.ch/page-119651-fr.html/,https://documents.epfl.ch/groups/g/gh/ghi-ge-unit/www/Christmas%202015/GHI%20ISREC%20Christmas%20Party%202015%20%2814%29.JPG,810.355,
