domain,page,document,size [KB],status_code
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/walk%20in%20the%20park.JPG,9521.97,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Via%20Urbana.JPG,10415.145,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Trevi.JPG,5675.8730000000005,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Trevi%20TNE.JPG,5772.6140000000005,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/TNE%20Colosseo.jpeg,240.83700000000002,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/TNE%20audience.JPG,11307.946,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Stani.JPG,11510.948,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Silvestro.JPG,9767.542,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Santi%20Domenico.JPG,6678.41,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Pantheon.JPG,12132.898000000001,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Pantheon%202.JPG,15064.029,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Nawal%20and%20Camilla.JPG,11475.561,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Marion.JPG,10577.85,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Marina.JPG,10821.875,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Maria.JPG,11705.267,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Magnapoli%20TNE.JPG,8338.836,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Largo%20magnapoli.JPG,6493.47,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Katie.JPG,10960.558,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Ivo.JPG,10774.504,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Hotel.JPG,10039.917,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Hotel%202.JPG,10527.823,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Giacomo.JPG,11221.879,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Fussball.JPG,5791.483,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Dinner.jpeg,194.229,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Dinner%203.JPG,5578.4490000000005,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Dinner%202.JPG,5560.476000000001,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Colosseo.JPG,11562.341,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/RomeRetreat2017/Annarita.JPG,11680.853000000001,
http://tne.epfl.ch/,http://tne.epfl.ch/page-81541-en.html/,https://documents.epfl.ch/groups/t/tn/tne-unit/www/pics/Stani201708/Stani_farewell.JPG,376.84000000000003,
http://tne.epfl.ch,http://tne.epfl.ch/tequila/help?language=fr,,,404.0
