domain,page,document,size [KB],status_code
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/funding/,https://documents.epfl.ch/users/r/re/reynard/www/image_web/Swiss%20Data%20Science%20Center,86.708,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/funding/,https://documents.epfl.ch/users/r/re/reynard/www/image_web/PHRT,44.018,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/funding/,https://documents.epfl.ch/users/r/re/reynard/www/image_web/SNF,24.773,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/funding/,https://documents.epfl.ch/users/r/re/reynard/www/image_web/ERC.jpg,91.541,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/funding/,https://documents.epfl.ch/users/r/re/reynard/www/image_web/MC_action.jpg,11.412,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/page-40063-en.html/,https://documents.epfl.ch/users/r/re/reynard/www/Picture/Stresa%20,4720.959,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/page-40063-en.html/,https://documents.epfl.ch/users/r/re/reynard/www/Picture/Karting,2522.358,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/page-40063-en.html/,https://documents.epfl.ch/users/r/re/reynard/www/Picture/Curling,2464.168,
http://tronolab.epfl.ch/,http://tronolab.epfl.ch/page-40063-en.html/,https://documents.epfl.ch/users/r/re/reynard/www/Picture/Croatia,14461.573,
http://tronolab.epfl.ch,http://tronolab.epfl.ch/tequila/help?language=fr,,,404.0
