domain,page,document,size [KB],status_code
http://unfold.epfl.ch,http://unfold.epfl.ch/site/unfold/sitemap,,,404.0
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-152067-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_UNFoLD_teampics/end%20of%20spring%20semester%203.jpg,5098.871,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-152067-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_UNFoLD_teampics/end%20of%20spring%20semester%202.jpg,8128.4400000000005,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-152067-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_UNFoLD_teampics/end%20of%20spring%20semester%201.jpg,8392.248,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-152067-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_UNFoLD_teampics/UNFoLD%20retreat%20Diablerets%202018.JPG,2387.121,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-152067-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_UNFoLD_teampics/UNFoLD%20%26%20Greenfluids%20%40%20APS%202017,123.79,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-152067-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_UNFoLD_teampics/Dr%20Swathi%20%26%20thesis%20advisors%20,1741.2150000000001,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/july.jpg,1275.237,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/june.jpg,7620.758,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/may.jpg,3079.648,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/april.jpg,2737.23,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/march.gif,4396.741,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/february.jpg,1036.655,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2018_pom/january.jpg,1426.152,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/december.jpg,1433.276,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/november.jpg,334.576,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/october.JPG,120.408,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/september.gif,15855.085000000001,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/august.jpg,1757.412,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/july.jpg,819.987,
http://unfold.epfl.ch/,http://unfold.epfl.ch/page-148361-en.html/,https://documents.epfl.ch/users/m/mu/mullener/www/2017_pom/june.jpg,2047.534,
http://unfold.epfl.ch,http://unfold.epfl.ch/sitemap,,,404.0
http://unfold.epfl.ch,http://unfold.epfl.ch/tequila/help?language=fr,,,404.0
