domain,page,document,size [KB],status_code
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/b23-SED_6642.jpg,543.11,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/a17-NES_9709.jpg,394.019,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/2DSC_9323.jpg,427.145,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/1DJI_0002.jpg,638.46,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Berclaz-5.jpg,208.905,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/collaborateurs_Girault-2.jpg,148.231,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/elctroerosion.jpg,430.97700000000003,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Favre-7.jpg,181.555,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/IMG_0346.jpg,107.57900000000001,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/IMG_6997_DxO.jpg,120.932,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/IMG_7029_DxO.jpg,109.124,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/IMG_7075_DxO.jpg,107.034,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/IMG_7120_DxO.jpg,105.086,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Katelyn_Mc_Clung-5.jpg,133.476,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/labo_Nazeeruddin-12.jpg,184.596,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/labo_Nazeeruddin-15.jpg,101.89,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Labo_Nazeeruddin-4.jpg,127.285,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/labo_Van_Herle-3.jpg,193.04500000000002,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Labo_Wendy_Lee-1.jpg,146.273,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Loiudice-5.jpg,145.648,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Manuel_Tschumi_sous_sol-2.jpg,129.677,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Mauron-4.jpg,117.768,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Mauron-8.jpg,135.948,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Mehrdad_Asgari-5.jpg,143.493,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Nazeeruddin-7.jpg,149.093,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Nikita_Drigo-4.jpg,120.33800000000001,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Olaya-4.jpg,138.103,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/open-space.jpg,234.118,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Oveisi-7.jpg,147.439,
http://valais.epfl.ch/,http://valais.epfl.ch/page-130706-fr.html/,https://documents.epfl.ch/users/b/bu/burlot/www/galerie_valais/Priscilla_Caliandro-1.jpg,155.712,
