domain,page,document,size [KB]
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_04.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_10.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_05.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_01.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_12.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_02.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_09.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_24.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_03.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_07.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_19.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_17.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_06.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_08.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_14.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_11.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_18.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_25.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_13.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_15.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_20.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_23.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_16.jpg,27.235
